         Available Data items for the following Database Selection:

          DATABASES: Special Merger Sectors (Aus/NZ) (MA, OMA, IMA)
          MA   - Mergers & Acquisitions
          OMA  - Original SDC Mergers, 1979-84
          IMA  - International Mergers

                          Last Data Update: 29/07/2011

Description                                                             Code                           
-----------                                                             ----                           
2 Step Spin Flag (Y/N)                                                  TWOSTEPSPIN                    
Acq Closing Price 1 Day Prior To Ann (Acq Curr)                         ACQ_CURR_AC1DAY                
Acq Closing Price 1 Day Prior to Ann (Host Curr)                        HOST_AC1DAY                    
Acq Closing Price 1 Week Prior To Ann (Acq Curr)                        ACQ_CURR_AC1WK                 
Acq Closing Price 1 Wk Prior to Ann (Host Curr)                         HOST_AC1WK                     
Acq Closing Price 4 Weeks Prior To Ann (Acq Curr)                       ACQ_CURR_AC4WK                 
Acq Closing Price 4 Wks Prior to Ann (Host Curr)                        HOST_AC4WK                     
Acq Financial Advisor Fee is Based on % of Deal Value Flag (Y/N)        APCTFEE                        
Acquirer's Indemnification Basket (HOST CURRENCY)                       INDEMN_ACQ_BSKT_HOST           
Acquirer's Indemnification Basket (USD)                                 INDEMN_ACQ_BSKT                
Acquirer's Indemnification Basket Deductibility (Code)                  INDEMN_ACQ_BSKT_DEDUCT         
Acquirer's Indemnification Cap - % of (Rank Value)                      INDEMN_ACQ_CAP_PCT             
Acquirer's Indemnification Cap (HOST)                                   INDEMN_ACQ_CAP_HOST            
Acquirer's Indemnification Cap (USD)                                    INDEMN_ACQ_CAP                 
Acquirer's Individual Claim Deductibility (Code)                        INDEMN_ACQ_INDIV_DEDUCT        
Acquirer's Min. Indemnifiable Claim (HOST CURRENCY)                     INDEMN_ACQ_INDIV_MIN_HOST      
Acquirer's Min. Indemnifiable Claim (USD)                               INDEMN_ACQ_INDIV_MIN           
Acquiror                                                                ACUTIC                         
Acquiror 6-digit CUSIP                                                  ACU                            
Acquiror Accounts Payable LTM                                           AACCTPAY                       
Acquiror Accounts Rec LTM in Host Curr                                  HOST_AACCREC                   
Acquiror Accounts Receivable LTM                                        AACCREC                        
Acquiror Accts Payable LTM in Host Curr                                 HOST_AACCTPAY                  
Acquiror Actual Shares Outstanding (Mil)                                ACOMACT                        
Acquiror Advertising Billings (Host Mil)                                HOSTABILLINGS                  
Acquiror Advisor Credit in Ranking                                      AADVCREDIT                     
Acquiror All SIC (Codes Listed Down the Page)                           ASIC                           
Acquiror Australian Stock Exchange Industry (Code)                      AASXC                          
Acquiror Book Value LTM                                                 ABV                            
Acquiror Book Value LTM in Host Curr                                    HOST_ABV                       
Acquiror Business Description, Full (ALL CAPS, Text Paragraph)          ABLUPPER                       
Acquiror Business Description, Full (UPPER CASE)                        ABUSINESSL_Q                   
Acquiror Canadian Province                                              APROVINCE                      
Acquiror Capital Expend LTM in Host Curr                                HOST_ACAPEX                    
Acquiror Capital Expenditures LTM                                       ACAPEX                         
Acquiror Cash LTM                                                       ACASH                          
Acquiror Cash LTM in Host Currency                                      HOST_ACASH                     
Acquiror CIDGEN                                                         ACIDGEN                        
Acquiror City                                                           ACITY                          
Acquiror Closing Price 1 Day Prior to Ann ($)                           AC1DAY                         
Acquiror Closing Price 1 Wk Prior to Ann ($)                            AC1WK                          
Acquiror Closing Price 4 Wks Prior to Ann ($)                           AC4WK                          
Acquiror Common Div LTM in Host Curr                                    HOST_ACOMDIV                   
Acquiror Common Dividends LTM                                           ACOMDIV                        
Acquiror Common Equity LTM                                              ACOMEQ                         
Acquiror Common Equity LTM in Host Curr                                 HOST_ACOMEQ                    
Acquiror Common Shares LTM                                              ACOMDFIN                       
Acquiror Convertible Debt LTM                                           ACVTDBT                        
Acquiror Convertible Debt LTM in Host Curr                              HOST_ACVTDBT                   
Acquiror Current Assets LTM                                             ACASS                          
Acquiror Current Assets LTM in Host Curr                                HOST_ACASS                     
Acquiror Current Liabilities LTM                                        ACLIA                          
Acquiror Current Liabilities LTM in Host Curr                           HOST_ACLIA                     
Acquiror Datastream Code                                                A_DS_CODE                      
Acquiror Deferred Taxes LTM                                             ADEFER                         
Acquiror Deferred Taxes LTM in Host Curr                                HOST_ADEFER                    
Acquiror Deprec, Amort LTM in Host Curr                                 HOST_ADEP                      
Acquiror Depreciation, Amortization LTM                                 ADEP                           
Acquiror Due Diligence Advisor (Code)                                   AACCC                          
Acquiror Earnings Per Share LTM ($)                                     AEPS                           
Acquiror Earnings Per Share LTM (Host)                                  HOST_AEPS                      
Acquiror EBIT LTM                                                       AEBIT                          
Acquiror EBIT LTM in Host Currency                                      HOST_AEBIT                     
Acquiror EBITDA LTM                                                     ACASHFLOW                      
Acquiror EBITDA LTM in Host Curr                                        HOST_ACASHFLOW                 
Acquiror Financial Advisor Assignments (Codes)                          AASSIGNC                       
Acquiror Financial Advisor Fee Assignments (Codes)                      AFC                            
Acquiror Financial Advisor Fee Information Source                       AFEE_SOURCE                    
Acquiror Financial Advisor Fee is Based on Flat Rate Flag (Y/N)         AFLATFEE                       
Acquiror Financial Advisor Fees, Amt per Advisor ($ Mil)                AFTOTN                         
Acquiror Financial Advisor Fees, Amt per Advisor (Host Mil)             HOSTATOTFEENEG                 
Acquiror Financial Advisor Fees, Amt per Assignment ($ Mil)             AFAMT                          
Acquiror Financial Advisor Fees, Amt per Assignment (Host Mil)          HOSTAFEEAMT                    
Acquiror Financial Advisor Fees, Total Amt ($ Mil)                      AFTOT                          
Acquiror Financial Advisor Fees, Total Amt (Euro Mil)                   EUROAFEETOT                    
Acquiror Financial Advisor Fees, Total Amt (Host Mil)                   HOSTAFEETOT                    
Acquiror Financial Advisor Fees, Total Amt as % of Deal Value           AFEEPCT                        
Acquiror Financial Advisors (Codes)                                     AAA_AACODE                     
Acquiror Financial Advisors' Parent State (Codes)                       AASTATE                        
Acquiror Financial Advisors with LT-eligible Role (Codes)               AAA_AACODE_ROLE_ELIG           
Acquiror Financial Information Source (Code)                            AFSRCC                         
Acquiror Financials Source Date                                         DATE_FIN_SOURCE_A              
Acquiror Firm Type                                                      ACQUIROR_TYPE                  
Acquiror Forbes Sales 500 Rank                                          AFBRANK                        
Acquiror Fortune 500 Rank                                               AFTRANK                        
Acquiror Fully Diluted Shares Outstanding (Mil)                         ACOUT                          
Acquiror Goodwill LTM                                                   AGWIL                          
Acquiror Goodwill LTM in Host Currency                                  HOST_AGWIL                     
Acquiror High Tech Industry (Codes)                                     AHTECHC                        
Acquiror Immediate Parent 6-digit CUSIP                                 AIP                            
Acquiror Immediate Parent CIDGEN                                        AIPCIDGEN                      
Acquiror Immediate Parent is a Financial Sponsor (Y/N)                  AIPFINANCIAL                   
Acquiror Immediate Parent Public Status (Code)                          AIPPUBC                        
Acquiror Industry Sector (Code)                                         AINC                           
Acquiror Insurance Premiums (Host Mil)                                  HOSTAPREMIUMS                  
Acquiror Intangible Assets LTM                                          AIASS                          
Acquiror Intangible Asts LTM in Host Curr                               HOST_AIASS                     
Acquiror Inventories LTM                                                AINVEN                         
Acquiror Inventories LTM in Host Currency                               HOST_AINVEN                    
Acquiror is a Financial Sponsor Flag (Y/N)                              AFINANCIAL                     
Acquiror is a Leveraged Buyout Firm                                     ALBOFIRM                       
Acquiror is a Limited Partnership Flag (Y/N)                            ALP                            
Acquiror is a Special Purpose Acquisition Vehicle Flag (Y/N)            ASPV                           
Acquiror is a White Knight Flag (Y/N)                                   AWK                            
Acquiror Legal Advisor Assignments (Codes)                              ALEGALASSIGNMENTCODE           
Acquiror Legal Advisor Credit in Ranking                                A_LEG_CREDIT                   
Acquiror Legal Advisor Fees, Amt per Advisor ($ Mil)                    AFLEGAL                        
Acquiror Legal Advisor Lawyers (Code)                                   ALAWYERCODE                    
Acquiror Legal Advisor Nation (Code)                                    ALEGALNATIONC                  
Acquiror Legal Advisors (Codes)                                         ALEGC                          
Acquiror Lockup Percentage (%)                                          A_LOCKUP_PCT                   
Acquiror Lockup Price (Host Curr)                                       A_LOCKUP_PR_HOST               
Acquiror Lockup Price (US $)                                            A_LOCKUP_PR                    
Acquiror LT-eligible Financial Advisor Assignments (Codes)              AASSIGNC_ELIG                  
Acquiror Macro Industry (Code)                                          ATF_MACRO_CODE                 
Acquiror Market Value 4 Weeks Prior to Announcement ($ Mil)             AMV                            
Acquiror Mid Industry (Code)                                            ATF_MID_CODE                   
Acquiror Minority Interest LTM                                          AMININT                        
Acquiror Minority Interest LTM in Host Curr                             HOST_AMININT                   
Acquiror NAIC (Code)                                                    ANAIC                          
Acquiror Name (Full)                                                    ANL                            
Acquiror Nation (Code)                                                  ANATC                          
Acquiror Nation of Primary Stock Exchange (Code)                        ANPSE_CODE                     
Acquiror Nation of Stock Exchange (Code)                                ANSE_CODE                      
Acquiror Nation Region (Code)                                           ANATRC                         
Acquiror Net Assets Last Twelve Months ($ Mil)                          ANETASS                        
Acquiror Net Assets Last Twelve Months (Host Mil)                       HOSTANETASS                    
Acquiror Net Cash Fin Act LTM in Host Curr                              HOST_AFINCASH                  
Acquiror Net Cash from Fin Act LTM                                      AFINCASH                       
Acquiror Net Cash from Inv Act LTM                                      AINVCASH                       
Acquiror Net Cash from Op Act LTM                                       AOPCASH                        
Acquiror Net Cash Inv Act LTM in Host Curr                              HOST_AINVCASH                  
Acquiror Net Cash Op Act LTM in Host Curr                               HOST_AOPCASH                   
Acquiror Net Debt LTM                                                   ANETDEBT                       
Acquiror Net Debt LTM in Host Currency                                  HOST_ANETDEBT                  
Acquiror Net Income Last Twelve Months ($Mil)                           ANI                            
Acquiror Net Income Last Twelve Months (Euro mil)                       EURO_ANILTM                    
Acquiror Net Income Last Twelve Months (Host Mil)                       HOSTANILTM                     
Acquiror Net Sales Last Twelve Months ($ Mil)                           ASALES                         
Acquiror Net Sales Last Twelve Months (Euro mil)                        EURO_ASALESLTM                 
Acquiror Net Sales Last Twelve Months (Host Mil)                        HOSTASALESLTM                  
Acquiror Owns a Lockup Agreement Flag (Y/N)                             ALOCKUP                        
Acquiror Preferred Div LTM in Host Curr                                 HOST_APFDDIV                   
Acquiror Preferred Dividends LTM                                        APFDDIV                        
Acquiror Preferred Equity LTM                                           APFDEQ                         
Acquiror Preferred Equity LTM in Host Curr                              HOST_APFDEQ                    
Acquiror Preferred Shares Issued (Mil)                                  PFDISSUED                      
Acquiror Pre-tax Income LTM                                             APTINC                         
Acquiror Pre-tax Income LTM in Host Curr                                HOST_APTINC                    
Acquiror Primary High Tech Codes                                        AHITECHP                       
Acquiror Primary NAIC (Code)                                            ANAICP                         
Acquiror Primary Nation Region (Code)                                   APNATREGC                      
Acquiror Primary SIC (Code)                                             ASICP                          
Acquiror Primary Stock Exchange (Code)                                  AEXCHC                         
Acquiror Primary Stock Exchange by Country (Code)                       APRIMEXCHC                     
Acquiror Primary Ticker Symbol                                          ATIC                           
Acquiror Primary Venture Economics Industry (Code)                      AVEICP                         
Acquiror Prop,Plant,Equip LTM in Host Curr                              HOST_APPE                      
Acquiror Property, Plant, Equip LTM                                     APPE                           
Acquiror Public Mid Code                                                ACQUIROR_PUB_MID               
Acquiror Public Status (Code)                                           APUBC                          
Acquiror Share Price Prior to Announcement ($)                          APRSHARE                       
Acquiror Share Price Prior to Announcement (Host)                       HOSTAPRSHARE                   
Acquiror Short-term Debt LTM                                            ASTDBT                         
Acquiror Short-term Debt LTM in Host Curr                               HOST_ASTDBT                    
Acquiror Significant Individuals (Codes)                                ASICODE                        
Acquiror State (Code)                                                   ASTC                           
Acquiror State of Incorporation (Code)                                  ASTIC                          
Acquiror Stock Exchange (Code)                                          AAEXCHC                        
Acquiror Stock Exchange (Name)                                          AAEXCHANGE                     
Acquiror Stock Price 1 Day After Announcement ($)                       APR1DAYA                       
Acquiror Stock Price 1 Week After Announcement ($)                      APR1WKA                        
Acquiror Stock Price 10 Days After Announcement ($)                     APR10DAYA                      
Acquiror Stock Price 180 Days After Announcement ($)                    APR180DAYA                     
Acquiror Stock Price 4 Weeks After Announcement ($)                     APR4WKA                        
Acquiror Stock Price 60 Days After Announcement ($)                     APR60DAYA                      
Acquiror Stock Price 90 Days After Announcement ($)                     APR90DAYA                      
Acquiror Stock Price on Announcement Day ($)                            APRDAY                         
Acquiror Straight Debt LTM                                              ASTRDBT                        
Acquiror Straight Debt LTM in Host Curr                                 HOST_ASTRDBT                   
Acquiror Supranational Flag (Y/N)                                       ASUPRANATIONAL                 
Acquiror Taxes LTM                                                      ATAXES                         
Acquiror Taxes LTM in Host Currency                                     HOST_ATAXES                    
Acquiror Termination Fee ($ Mil)                                        ATERMFEE                       
Acquiror Termination Fee (Host Mil)                                     HOSTATERMFEE                   
Acquiror Termination Fee Flag (Y/N)                                     ATERM                          
Acquiror Ticker Symbol                                                  AATIC                          
Acquiror Total Assets (Euro mil)                                        EURO_ATASS                     
Acquiror Total Assets (Host Mil)                                        HOSTATASS                      
